step,actic loss,critic loss,average distance,time
4980,-319.8452,12729.4962,460.6667,0min40sec
4990,-319.2134,12705.7711,460.5401,1min40sec
5000,-318.5888,12682.2130,460.4134,1min18sec
5010,-317.9584,12658.7612,460.2865,1min9sec
5020,-317.3311,12635.1521,460.1556,1min18sec
5030,-316.7122,12611.8305,460.0271,1min11sec
5040,-316.0870,12588.4737,459.8984,1min13sec
5050,-315.4704,12565.1207,459.7724,1min12sec
5060,-314.8641,12542.0845,459.6436,1min15sec
5070,-314.2446,12519.1458,459.5150,1min9sec
5080,-313.6291,12496.0273,459.3867,1min11sec
5090,-313.0196,12473.0705,459.2609,1min12sec
5100,-312.4149,12450.2903,459.1371,1min10sec
5110,-311.8082,12427.4792,459.0134,1min11sec
5120,-311.2070,12404.7361,458.8911,1min11sec
5130,-310.6078,12382.1504,458.7660,1min11sec
5140,-310.0071,12359.7417,458.6441,1min12sec
5150,-309.4146,12337.2821,458.5206,1min12sec
5160,-308.8283,12314.8820,458.3955,1min9sec
5170,-308.2394,12292.9553,458.2765,1min10sec
5180,-307.6465,12271.0706,458.1577,1min10sec
5190,-307.0614,12249.0482,458.0418,1min11sec
5200,-306.4811,12227.0730,457.9212,1min11sec
5210,-305.9043,12205.3407,457.8055,1min10sec
5220,-305.3210,12183.6272,457.6869,1min9sec
5230,-304.7429,12161.9615,457.5702,1min9sec
5240,-304.1701,12140.3100,457.4513,1min12sec
5250,-303.6017,12118.8664,457.3360,1min13sec
5260,-303.0294,12097.3526,457.2175,1min39sec
5270,-302.4621,12075.8770,457.0998,1min40sec
5280,-301.8949,12054.5096,456.9814,1min15sec
5290,-301.3319,12033.2125,456.8664,1min13sec
5300,-300.7669,12011.9884,456.7499,1min12sec
5310,-300.2072,11990.7209,456.6341,1min16sec
5320,-299.6507,11969.6025,456.5166,1min13sec
